RUN AT 00 33 28 16 Jul 2020 - Python Output aymhenry@gmail
Configration,  6 
Mode,  4 
Value
CERA App from Fortran To Python
Python 3.8.3 
==============
Mode 4
15/7/2020  3:37
Thermal Analysis of a one-door Refrigerator
 
 , CONFIGURATION TYPE:,6
 
Dimensional specifications
 ,High,  156.210,CM
 ,Wide,  76.200,CM
 ,Deep,  71.750,CM
 ,Outer Liner,   0.500,MM
 ,Inner Liner,   0.500,MM
  ,Wedge deep,    7.620,CM
  ,Flanges wide,  3.870,CM
 
COMPRESSOR COMPARTMENT DIMENSIONS
 ,Top Depth,   0.000, CM
 ,Bottom Depth,   0.000, CM
 ,Height Depth,   0.000, CM
 
INSULATION THICKNESS
 ,Top,  6.030, CM
 ,Left side,     6.030, CM
 ,Right side,    6.030, CM
 ,Front (door),  4.450, CM
 ,Back,          6.030, CM
 
VOLUMES
Freezer Refrigerated Volume
 ,Specified,  135.070, Liter
 
Temperatures
  ,Room,                    32.220, DEG C 
  ,Freezer cabinet,        -15.000, DEG C 
  ,Fresh food cabinet,       3.330, DEG C 
  ,Air under refrigerator,  37.800, DEG C 
 
THERMAL CHARACTERISTICS
Thermal Resistivity
  ,Cabinet,    0.5550,m2-C/W-cm 
  ,Wedge,      0.5550,m2-C/W-cm 
  ,Door,       0.5550,m2-C/W-cm 
  ,Door,       0.5550,m2-C/W-cm 
  ,Gasket heat leak,       0.0900, W/m-C
 
Door Openings
  ,Air temperature,     32.2, Deg C 
  ,Relative humidity,   50.0, (%) 
  ,Openings/hr,              0.0,#/HR 
  ,Duration of 1 opening,   20.0,SECONDS 
 
ANTI-SWEAT Heaters
 ,Cabinet,  1.833, W 
 
Auxiliary Energy
  ,Inside cabinet,   0.000, W 
  ,Outside cabinet,  0.000, W 
